gracintyAvyaktarUpAya	acintyAvyaktarUpAya
Bujakowijye	Bujakowijye
BagaRAMSaviBAjite	BagaRAMSaviBAjite
tabdujajyAPalaDanumAMndaM	tadBujajyAPalaDanurmAndaM
liptAdikaM	liptAdikaM
Palam	Palam
39	239
SEGracyaM	SEGryaM
kowiPalaM	kowiPalaM
kendre	kendre
makarAdO	makarAdO
DanaM	DanaM
smftam	smftam
saMSoDyaM	saMSoDyaM
ta	tu
trijIvAyAM	trijIvAyAM
kakyAMdI	karkyAdO
kowija	kowijaM
Palam	Palam
40	240
tadvAhaPalavagEMkyAnmUla	tadbAhuPalavargEkyAnmUlaM
karRacalABiDa	karRaScalABiDaH
trijyAByastaM	trijyAByastaM
BujaPala	BujaPalaM
calakarRaviBAjitam	calakarRaviBAjitam
41	241
labDasya	labDasya
cApaM	cApaM
lipsAdiPalaM	liptAdiPalaM
SEGracyamidaM	SEGryamidaM
smftam	smftam
etadAdye	etadAdye
kujAdInAM	kujAdInAM
caturTa	caturTe
cEva	cEva
karmaRi	karmaRi
42	242
mAndaM	mAndaM
punarmAndaM	punarmAndaM
SEGracyaM	SEGryaM
catvAryanukramAt	catvAryanukramAt
43	243
maDye	maDye
SIGraPalasyADa	SIGraPalasyArDaM
mAndamaDaPalaM	mAndamarDaPalaM
taTA	taTA
maDyagrahe	maDyagrahe
mandaPalaM	mandaPalaM
sakalaM	sakalaM
SEGrayameva	SEGryameva
ca	ca
44	244
ajAdikendra	ajAdikendre
sarvezAM	sarvezAM
SeGraye	SEGrye
mAnde	mAnde
ca	ca
karmaRi	karmaRi
DanaM	DanaM
grahARAM	grahARAM
liptAdi	liptAdi
tulAdAvfzRameva	tulAdAvarRameva
ca	ca
45	245
arkabAhuPalAByastA	arkabAhuPalAByastA
grahaBuktiviMBAjitA	grahaBuktirviBAjitA
BacakrakalikABistu	BacakrakalikABistu
liptAH	liptAH
kAryA	kAryA
grahe$rkavat	grahe$rkavat
46	246
svamandaBuktisaMSudDA	svamandaBuktisaMSudDA
maDyaBuktirniSApateH	maDyaBuktirniSApateH
dojyAMntarAdikaM	dorjyAntarAdikaM
kftvA	kftvA
ButAvURaDanaM	BuktAvfRaDanaM
Bavet	Bavet
47	247
grahaButa	grahaBukteH
Pala	PalaM
kArya	kAryaM
grahavanmandakarmaRi	grahavanmandakarmaRi
dojyantaraguRA	dorjyAntaraguRA
BuktistattvanetrodDftA	BuktistattvanetrodDftA
punaH	punaH
48	248
svamandapariDikzuRA	svamandapariDikzuRRA
BagaRAMSodBUtAH	BagaRAMSodDftA
kalAH	kalAH
kakyAMdO	karkyAdO
tu	tu
DanaM	DanaM
tatra	tatra
makarAdAvUgRaM	makarAdAvfRaM
smftam	smftam
49	249
mandasPuwIkftAM	mandasPuwIkftAM
BuktiM	BuktiM
projJaya	prohya
SIGroccaBuktitaH	SIGroccaBuktitaH
tacCezaM	tacCeSaM
vivareRATa	vivareRATa
hanyAt	hanyAt
trijyAntyakarRayoH	trijyAntyakarRayoH
50	250
calakarRahftaM	calakarRahftaM
BuktO	BuktO
karRe	karRo
trijyA$Dike	trijyADike
Danam	Danam
fRamUne$Dike	fRamUne$Dike
projJaya	projJya
Seza	SezaM
vakragatirBavet	vakragatirBavet
51	251
dUrasTitaH	dUrasTitaH
svaSIGroccAd^grahaH	svaSIGroccAdgrahaH
SiTilaraSmiBiH	SiTilaraSmiBiH
savyetarAkfzwatanurBaved^vakragatistAdA	savyetarAkfztatanurBavedvakragatistadA
52	252
kftatucandravadandraH	kftartucandrErvedendrEH
SUnyatryakaguRA^zwABaH	SUnyatryekErguRAzwaBiH
SararudrEScaturTezu	SararudrEScaturTezu
kendrAMSErBUsutAdayaH	kendrAMSErBUsutAdayaH
53	253
Bavanti	Bavanti
vakriRastEsta	vakriRastEstu
svEH	svEH
svEScakrAdviSoDitEH	svEScakrAdviSoDitEH
SrapravaSizwAMSatulyEH	avaSizwAMSatulyEH
sva	svEH
kandrarujJAnta	kendrErujJanti
vakratAm	vakratAm
54	254
mahatvAcCIGrapariDeH	mahattvAcCIGrapariDeH
saptame	saptame
BfgaBasatO	BfguBUsutO
Sraprazwame	azwame
jIvaSaSijO	jIvaSaSEjO
navame	navame
tu	tu
SanEScaraH	SanEScaraH
55	255
kujArkigurupAtAnAM	kujArkigurupAtAnAM
grahavacCIGraja	grahavacCIGrajaM
Palam	Palam
vAmaM	vAmaM
tftIyakaM	tftIyakaM
mAndaM	mAndaM
buDaBArgavayoH	buDaBArgavayoH
Palam	Palam
56	256
svapAtonAda	svapAtonAd
grahAYjIva	grahAjjIvA
શા	SIGrAd
ધ્રા	BfgujasOmyayoH
vikzepaGnyantyakaRAMpsA	vikzepaGnyantyakarRAptA
vi^kzepastrijyayA	vikzepastrijyayA
viDI	viDoH
57	257
N	vikzepApakramEkatve
N	krAntirvikzepasaMyutA
digBede	digBede
vizyutA	viyutA
spazwA	spazwA
BAskarasya	BAskarasya
yaTA$$gatA	yaTAgatA
58	258
grahodayaprARahitA	grahodayaprARahatA
KaravAwekodDatA	KaKAzwEkodDftA
gatiH	gatiH
cakrAsavo	cakrAsavo
labDayutAH	labDayutA
svAhorAtrAsavaH	svAhorAtrAsavaH
smftAH	smftAH
5	259
krAnteH	krAnteH
kramotkramajye	kramotkrammajye
dve	dve
kftvA	kftvA
tatrotkramajyayA	tatrotkramajyayA
hInA	hInA
trijyA	trijyA
dinavyAsadalAM	dinavyAsadalaM
taddakziRottaram	taddakziRottaram
60	260
krAntijyA	krAntijyA
vizuvasdrAGrI	vizuvadBAGnI
citatijyA	kzitijyA
dvAdaSodDatA	dvAdaSodDftA
trijyAguRA$horAtrArDakarRApmA	trijyAguRAhorAtrArDakarRAptA
carajA$savaH	carajAsavaH
61	261
tatkAmukamudakkrAntO	tatkArmukamudakkrAntO
DanahAnI	DanaSanI
pfTaka^sTite	pfTaksTite
svAhorAtracaturBAge	svAhorAtracaturBAge
dinarAtridale	dinarAtridale
smfte	smfte
62	262
yAmyakrAntO	yAmyakrAntO
viparyaste	viparyaste
dvigaRe	dviguRe
ta	tu
dinakzape	dinakzape
vi^kzepayaktonitayA	vikzepayuktonitayA
krAntyA	krAntyA
BAnAmapi	BAnAmapi
svake	svake
63	263
BaBogo$zwaSatIlipsAH	BaBogo$zwaSatIliptAH
evASciSElAstaTA	KASviSElAstaTA
tiTeH	tiTeH
grahalimA^BaBogAmA	grahaliptABaBogAptA
BAni	BAni
BuktyA	BuktyA
dinAdikam	dinAdikam
64	264
ravInduyogaliptASca	ravInduyogaliptAByo
yogA	yogA
BaBogaBAjitAH	BaBogaBAjitAH
gatA	gatA
gamyASca	gamyASca
zazwiGnyo	zazwiGnyo
BuktiyogApmanAqikAH	BuktiyogAptanAqikAH
65	265
akonacandraliptAByastiTayo	arkonacandraliptAByastiTayo
BogaBAjitAH	BogaBAjitAH
gatA	gatA
gamyASca	gamyASca
zawiGnyo	zazwiGnyo
nAqayo	nAqyo
BuktyantarodDatA	BuktyantarodDftAH
66	266
DruvARi	DruvARi
SakuninAMgaM	SakunirnAgaM
tftIyaM	tftIyaM
tu	tu
catuzpadam	catuzpadam
kiMstuGnaM	kiMstuGnaM
tu	tu
caturdaSyAH	caturdaSyAH
kfzRAyAScAparArDataH	kfzRAyAScAparArDataH
67	267
bavAdIni	bavAdIni
tataH	tataH
sapsa	sapta
carAKaMtryakaraRAni	carAKyakaraRAni
ca	ca
mAse$zwakftva	mAse$zwakftva
ekEkaM	ekEkaM
karaRAnAM	karaRAnAM
pravartate	pravartate
68	268
tiTyarDaBogaM	tiTyarDaBogaM
sarvezAM	sarvezAM
karaRAnAM	karaRAnAM
prakalpayet	prakalpayet
ezA	ezA
sPuwagatiH	sPuwagatiH
prottA	proktA
sUryAdInAM	sUryAdInAM
KacAriRAm	KacAriRAm
6rU	269
tripraSnADikAraH	tripraSnADikAraH
SilAtale$mbusaMSudDe	SilAtale$mbusaMSudDe
vajalepe$pi	vajralepe$pi
vA	vA
same	same
tatra	tatra
SaNkvaNgalArazwaH	SaNkvaNgulErizwEH
sama	samaM
maRaqalamAliravet	maRqalamAliKet
1	301
tanmaDye	tanmaDye
sTApayecCaNka	sTApayecCaNkuM
kalpanAdvAdaSANgalam	kalpanAdvAdaSANgulam
tacCAyAgra	tacCAyAgraM
spfSedyatra	spfSed^yatra
vftte	vftte
pUrvAparArDayoH	pUrvAparArDayoH
2	302
tatra	tatra
bindU	bindU
viDAyoBO	viDAyoBO
vftte	vftte
pUrvAparABiDO	pUrvAparABiDO
tanmaDye	tanmaDye
timinA	timinA
reKA	reKA
kartavyA	kartavyA
dakziRottarA	dakziRottarA
3	303
yAmyottaradiSormaDye	yAmyottaradiSormaDye
timinA	timinA
pUrvapaScimA	pUrvapaScimA
diNgaDyamatsyEH	diNmaDyamatsyEH
saMsADyA	saMsADyA
vidiSAstadvadeva	vidiSastadvadeva
hi	hi
4	304
t	caturasraM
isUtrErmaDyAdvinirga	kuryAtsUtrErmaDyAdvinirgatEH
dattErazwapraBA	dattErizwapraBA
smftA	smftA
5	305
prAkpaScimASritA	prAkpaScimASritA
reravA	reKA
procyAta	procyate
samamaRaqale	samamaRqale
unmaRaqale	unmaRqale
ca	ca
vizuvanmaRaqale	vizuvanmaRqale
parikotryate	parikIrtyate
6	306
reKA	reKA
prAcyaparA	prAcyaparA
sADyA	sADyA
vizuvaMdrAgragA	vizuvadBAgragA
taTA	taTA
izwacCAyAvizuvatormaDyamagrA$BiDIyate	izwacCAyAvizuvatormaDyamagrABiDIyate
7	307
SaNkacCAyAkftiyutermUlaM	SaNkucCAyAkftiyutermUlaM
karRo$sya	karRo$sya
vargataH	vargataH
projJaya	projJya
SaNkftiM	SaNkukftiM
mUlaM	mUlaM
CAyA	CAyA
SaquviMparyayAt	SaNkurviparyayAt
8	308
triSatkftyo	triMSatkftyo
yuge	yuge
BAnAM	BAnAM
cakra	cakraM
prAka	prAk
parilambate	parilambate
taduRAd^BUdinErBaktAda	tadguRAdBUdinErBaktAd
dyugaRAdyadavApyate	dyugaRAdyadavApyate
rU	309
taddostriGrA	taddostriGnA
daSApmAMSA	daSAptAMSA
vijYeyA^traprayanABiDAH	vijYeyAyanABiDAH
tatsaMskftAda	tatsaMskftAd
grahAt	grahAt
krAnticCAyAcaradalAdikam	krAnticCAyAcaradalAdikam
10	310
sPuwaM	sPuwaM
dfktulyatAM	dfktulyatAM
gacCedayane	gacCedayane
vizuvadvaye	vizuvadvaye
prAka	prAk
cakra	cakraM
calitaM	calitaM
hIne	hIne
CAyAkAMt	CAyArkAt
karaRAgate	karaRAgate
11	311
grantarAMSEraTAvtya	antarAMSEraTAvftya
paSvAcCezestaTA$Dike	paScAcCezEstaTADike
evaM	evaM
vizuvatI	vizuvatI
CAyAsvadeSe	CAyA^svadeSe
yA	yA
dinArDajA	dinArDajA
12	312
dakziRottaroreKAyAM	dakziRottarareKAyAM
sA	sA
tatra	tatra
vizuvat^praBA	vizuvatpraBA
SaqucCAyAhate	SaNkucCAyAhate
trijye	trijye
vizuvatkarRaBAjite	vizuvatkarRaBAjite
13	313
lambAkzajye	lambAkzajye
tayoScApa	tayoScApe
lambAkzI	lambAkzO
dakziRI	dakziRO
sadA	sadA
maDyacCAyA	maDyacCAyA
Bujastena	Bujastena
guRitA	guRitA
triBamOviMkA	triBamOrvikA
14	314
svakarRAppA	svakarRAptA
DanurlipsA	DanurliptA
natAstA	natAstA
dakziRe	dakziRe
Buje	Buje
uttarAScottre	uttarAScottare
yAmyAstAH	yAmyAstAH
sUryakrAntiliptikAH	sUryakrAntiliptikAH
15	315
digBede	digBede
miSritA	miSritAH
sAmye	sAmye
viSizlazwAScAttalimikA	viSlizwAScAkzaliptikAH
tAByo$kzajyA	tAByo$kzajyA
ca	ca
tadvargaM	tadvargaM
projJaya	projJya
trijyAkfteH	trijyAkfteH
padam	padam
16	316
lambajyA$rka^guRA$kzajyA	lambajyArkaguRAkzajyA
vizuvaMdrA$Ta	vizuvadBATa
lambayA	lambayA
svAttAkanataBAgAnAM	svAkzArkanataBAgAnAM
diksAmye$ntaramanyaTA	dikzAmye$ntaramanyaTA
17	317
digBede$pakramaH	digBede$pakramaH
Sezastasya	Sezastasya
jyA	jyA
trijyayA	trijyayA
hatA	hatA
paramApakrama^jyApsA	paramApakramajyAptA
cApaM	cApaM
mezAdigo	mezAdigo
ravi	raviH
18	318
kakyAMdI	karkyAdO
projJaya	projJya
cakrArDAt	cakrArDAt
tulAdI	tulAdO
BArDasaMyutAt	BArDasaMyutAt
mfgAdI	mfgAdO
projJAya	projJya
BagaRAnmaDyAhe$rka	BagaRAn^maDyAhne$rkaH
sPuwo	sPuwo
Bavet	Bavet
Nd	319
tanmAndamasakfd	tanmAndamasakfd
vAmaM	vAmaM
PalaM	PalaM
maDyo	maDyo
divAkaraH	divAkaraH
svAkzAkAMpakramayutirdiksAmye$ntaramanyaTA	svAkzArkApakramayutirdikzAmye$ntaramanyaTA
20	320
SezaM	SezaM
natAMSAH	natAMSAH
sUryasya	sUryasya
tadbAhujYyA	tadbAhujyA
ca	ca
kowijA	kowijyA
SaNkamAnANgalAByaste	SaNkumAnANgulAByaste
Bujatrijye	Bujatrijye
yaTAkramam	yaTAkramam
21	321
kowijyayA	kowijyayA
viBajyApe	viBajyApte
CAyAkaRAMva^hadale	CAyAkarRAvahardale
krAntijyA	krAntijyA
vizuvatkarRaguRA$$ptA	vizuvatkarRaguRAptA
SaNkujIvayA	SaNkujIvayA
22	322
grakAMgrA	arkAgrA
sezwakarRaGI	svezwakarRaGnI
maDyakarRIdDatA	maDyakarRodDftA
svakA	svakA
vizuvaMdrAyutA$kAMgrA	vizuvadBAyutArkAgrA
yAmye	yAmye
syAdutaro	syAduttaro
BujaH	BujaH
23	323
vizuvatyAM	vizuvatyAM
viSoDyodaggole	viSoDyodaggole
syAd	syAd
bAhuruttara	bAhuruttaraH
viparyayAda	viparyayAd
Bujo	Bujo
yAmyo	yAmyo
Bavet	Bavet
prAcyaparAntare	prAcyaparAntare
24	324
mADyAhiko	mADyAhniko
Bujo	Bujo
nityaM	nityaM
CAyA	CAyA
mADyAhikI	mADyAhnikI
smftA	smftA
lambAkzajIve	lambAkzajIve
vizuvacCAyAdvAdaSasahnaRe	vizuvacCAyAdvAdaSasaNguRe
25	325
krAntijyAmeM	krAntijyApte
tu	tu
to	tO
kaRoM	karRO
samamaRqalage	samamaRqalage
ravI	ravO
sOmyAkzonA	sOmyAkzonA
yadA	yadA
krAntiH	kAntiH
syAtadA	syAt^tadA
dyudalaSravaH	dyudalaSravaH
26	326
vizuvacCAyayA$ByastaH	vizuvacCAyayAByastaH
karRo	karRo
maDyAgrayodDftaH	maDyAgrayodDftaH
svakrAntijyA	svakrAntijyA
trijIvAGrI	trijIvAGnI
lambajyApsA$gramOviMkA	lambajyAptAgramOrvikA
27	327
svezwakarRahatA	svezwakarRahatA
BaktA	BaktA
trijyayA$grA$NgulAdikA	trijyayAgrANgulAdikA
trijyAvagAMDato$grajyAvagOMnAda	trijyAvargArDato$grajyAvargonAd
dvAdaSAhatAt	dvAdaSAhatAt
28	328
punardvAdaSaniGrAYca	punardvAdaSaniGnAcca
laByate	laByate
yat	yat
PalaM	PalaM
buDEH	buDEH
SaNkavargArDasaMyuktavizuvadvargaBAjitAt	SaNkuvargArDasaMyuktavizuvadvargaBAjitAt
2	329
tadeva	tadeva
karaRInAma	karaRI^nAma
tAM	tAM
pfTaka	pfTak
sTApayeda	sTApayed
buDaH	buDaH
grarkaGI	arkaGnI
vizuvacCAyA$grajyayA	vizuvacCAyAgrajyayA
guRitA	guRitA
taTA	taTA
30	330
BaktA	BaktA
PalAKyaM	PalAKyaM
tadvargasaMyuktakaraRIpadam	tadvargasaMyuktakaraRIpadam
Palena	Palena
hInasaMyuktaM	hInasaMyuktaM
dakziRottaragolayoH	dakziRottaragolayoH
31	331
MAHARISTINYERSI	ravO
pariBramati	pariBramati
SaNgostu	SaNkostu
SaNkaruttarayostu	SaNkuruttarayostu
saH	saH
32	332
tattrijyAvargaviSlezAnmUlaM	tattrijyAvargaviSlezAnmUlaM
dfgjyA$BiDIyate	dfgjyABiDIyate
svaSaqunA	svaSaNkunA
viBajyAme	viBajyApte
dfktrijye	dfktrijye
dvAdaSAhate	dvAdaSAhate
33	333
CAyAkarRO	CAyAkarRO
tu	tu
koRezu	koRezu
yaTAsvaM	yaTAsvaM
deSakAlayoH	deSakAlayoH
trijyodarajAyuktA	trijyodakcarajAyuktA
yAmyAyAM	yAmyAyAM
tadvivarjitA	tadvivarjitA
34	334
antyA	antyA
natotkramajyonA	natotkramajyonA
svAhorAtrArDasaNgaRA	svahorAtrArDasaNguRA
trijyABaktA	trijyABaktA
BavecCe^do	BavecCedo
lambajyAGo$Ta	lambajyAGno$Ta
BAjita	BAjitaH
35	335
triBajyayA	triBajyayA
BavecCaqustadvarga	BavecCaNkustadvargaM
pariSoDayet	pariSoDayet
trijyAvargAt	trijyAvargAt
padaM	padaM
dfgjyA	dfgjyA
CAyAkarRI	CAyAkarRO
tu	tu
pUrvavat	pUrvavat
36	336
graBIzwacCAyayA$BayastA	aBIzwacCAyayAByastA
trijyA	trijyA
tatkarRaBAjita	tatkarRaBAjitA
dfgjyA	dfgjyA
tadvargasaMSudDAt	tadvargasaMSudDAt
trijyAvargAdya	trijyAvargAcca
yat	yat
padam	padam
37	337
SaNkaH	SaNkuH
sa	sa
triBajIvAGraH	triBajIvAGnaH
svalambajyAviBAjitaH	svalambajyAviBAjitaH
CedaH	CedaH
sa	sa
trijyayA$ByastaH	trijyayAByastaH
svAhorAtrArDaBAjitaH	svAhorAtrArDaBAjitaH
38	338
unnatajyA	unnatajyA
tayA	tayA
hInA	hInA
svAntyA	svAntyA
Sezasya	Sezasya
kAmukam	kArmukam
utkramajyABirevaM	utkramajyABirevaM
syuH	syuH
prAkpaScArDanatAsavaH	prAkpaScArDanatAsavaH
3	339
izwAgrAGI	izwAgrAGnI
tu	tu
lambajyA	lambajyA
svakarRANgalaBAjitA	svakarRANgulaBAjitA
krAntijyA	krAntijyA
sA	sA
trijIvAGI	trijIvAGnI
paramApakramodDatA	paramApakramodDftA
40	340
tadyApa	taccApaM
BAdaka	BAdikaM
statra	kzetraM
pada^statra	padEstatra
BavA	Bavo
rAva	raviH
iwe$hi	izwe$hni
maDye	maDye
prAka^paSvAda^Dfte	prAkpaScAdDfte
bAhutrayAntare	bAhutrayAntare
41	341
matsyadvayAntarayutestrispfksUtreRa	matsyadvayAntarayutestrispfksUtreRa
BABramaH	BABramaH
triBadyukarRArDaguRAH	triBadyukarRArDaguRAH
svAhorAtrArDaBAjitAH	svAhorAtrArDaBAjitAH
42	342
kramAdekadvitriBajyAstaYcApAni	kramAd^ekadvitriBajyAstaccApAni
pfTaka	pfTak
pfTaka	pfTak
svADo$DaH	svADo$DaH
pariSoDyA$Ta	pariSoDyATa
mezAllaNkodayAsavaH	mezAllaNkodayAsavaH
43	343
ravAgAzwa^yo$rTago$gEkAH	KAgAzwayo$rTago$gEkAH
SaratryaNkahimAMSavaH	SaratryaNkahimAMSavaH
svadeSAcararavaRaqonA	svadeSacaraKaRqonA
BavantIpwodayAsava	BavantIzwodayAsavaH
44	344
vyastA	vyastA
vyastEryutAH	vyastEryutAH
svEH	svEH
svEH	svEH
karkawAdyAstatastrayaH	karkawAdyAstatastrayaH
utkramaRa	utkrameRa
zaqavata	zaqevEte
BavantAzwAstulAdayaH	BavantIzwAstulAdayaH
45	345
gataBogyAsava	gataBogyAsavaH
kAryA	kAryA
BAskarAdizwakAlikAt	BAskarAdizwakAlikAt
svodayAsuhatA	svodayAsuhatA
BuktaBogyA	BuktaBogyA
BaktAH	BaktAH
KavahniBiH	KavahniBiH
46	346
SrapraBIzwaGawikAsuByo	aBIzwaGawikAsuByo
BogyAsUn	BogyAsUn
praviSoDayet	praviSoDayet
tadvat	tadvat
tadezyalagrAsUnevaM	tadezyalagnAsUnevaM
yAtAn	yAtAt
taTotkramAt	taTotkramAt
47	347
SezaM	SezaM
cet	cet
triMSatA$ByastamaSudDena	triMSatAByastamaSudDena
viBAjitam	viBAjitam
BAgahInaM	BAgEryuktaM
ca	ca
yuktaM	hInaM
ca	ca
tallagryaM	tallagnaM
kzitije	kzitije
tadA	tadA
48	348
prAkpaScAtratanAqIBistasmAllaNgodayAsuBi	prAkpaScAnnatanAqIBistasmAllaNkodayAsuBiH
BAnO	BAnO
cakzayaDane	kzayaDane
kftvA	kftvA
maDyala^graM	maDyalagnaM
tadA	tadA
Bavet	Bavet
49	349
BogyAsUnUnakasyATa	BogyAsUn^UnakasyATa
BuktAsUnADikasya	BuktAsUn^aDikasya
ca	ca
sampIqayAntaralagrAsUnevaM	sampIRqyAntaralagnAsUn^evaM
syAt	syAt
kAlasADanam	kAlasADanam
50	350
sUryAdUne	sUryAdUne
niSASeze	niSASeze
lagre$kAMdaDike	lagne$rkAdaDike
divA	divA
BacakrArDayutAd^BAnoraDike$stamayAt	BacakrArDayutAdBAnoraDikke$stamayAt
param	param
51	351
candragrahaRADikAra	candragrahaRADikAraH
sADargani	sArDAni
zaw^sahastrARi	zawsahasrARi
yojanAni	yojanAni
vivasvataH	vivasvataH
vizkamBo	vizkamBo
maRqalasyendoH	maRqalasyendoH
sahASItyA	sahASItyA
catuSSatam	catuHSatam
1	401
sPuwasvaBuktyA	sPuwasvaBuktyA
guRitO	guRitO
maDyaBuktyodDatO	maDyaBuktyodDftO
sPuwo	sPuwO
raveH	raveH
svaBagaRAByastaH	svaBagaRAByastaH
SaSANkaBagaRodDftaH	SaSANkaBagaRodDftaH
2	402
SaSANkakzAguRito	SaSANkakakzAguRito
BAjito	BAjito
vA$rkaka^kzayA	vA$rkakakzayA
vizkramBaScandraka^ptAyA	vizkamBaScandrakakzAyAM
tiTyAptA	tiTyAptA
mAnaliptikA	mAnaliptikA
3	403
sPuwenduButirBUvyAsaguRitA	sPuwenduBuktirBUvyAsaguRitA
maDyayodDatA	maDyayodDftA
labDaM	labDaM
sUcI	sUcI
mahIvyAsasPuwArkaSravaRAntaram	mahIvyAsasPuwArkaSravaRAntaram
4	404
maDyenduvyAsaguRitaM	maDyenduvyAsaguRitaM
maDyAkavyAsaBAjitam	maDyArkavyAsaBAjitam
viSoDya	viSoDya
labDaM	labDaM
sUcyAM	sUcyAM
tu	tu
tamI	tamo
lipsAstu	liptAstu
pUrvavat	pUrvavat
5	405
BAnorBArDe	BAnorBArDe
mahIcCAyA	mahIcCAyA
tattulye$rkasame$pi	tattulye$rkasame$pi
SaSAqa़^pAte	SaSANkapAte
grahaRa	grahaRaM
kiya6dAgADikInake	kiyadBAgADikonake
6	406
ܓܟ	tulyO
rASayAdABaH	rASyAdiBiH
syAtAmamAvAsyAntakAlaka	syAtAmamAvAsyAntakAlikO
sUryendU	sUryendU
pOrRamAsyante	pOrRamAsyante
BArDe	BArDe
BAgAdiBiH	BAgAdikO
samO	samO
7	407
ܓܟ	gatEzyaparvanAqInAM
0	svaPalenonasaMyutO
ܠ''	samaliptO
ܠ''	BavetAM
tO	tO
pAtastatkAlakA$nyaTA	pAtastAtkAliko$nyaTA
8	408
CAdako	CAdako
BAskarasyenduraDaHsTo	BAskarasyenduraDaHsTo
Ganavad^Bavet	GanavadBavet
BUcCAyA	BUcCAyAM
prANkaravaYcandro	prANmuKaScandro
viSatyasya	viSatyasya
BavedasO	BavedasO
9	409
tAtkAlikenduvikzepaM	tAtkAlikenduvikzepaM
CAdyacCAdakamAnayo	CAdyacCAdakamAnayoH
yogArDAt	yogArDAt
projya	projJya
yacCezaM	yacCezaM
tAvacCannaM	tAvacCannaM
taducyate	taducyate
10	410
candragrahaRADikAraH	yad
grAhyamAnADike	grAhyamaDike
tasmin	tasmin
sakalaM	sakalaM
nyUnamanyaTA	nyUnamanyaTA
yogADAMdaDi^ke	yogArDAdaDike
na	na
syAda	syAd
vikzepa	vikzepe
grAsa^samBava	grAsasamBavaH
11	411
grAhyagrAhakasaMyogaviyogO	grAhyagrAhakasaMyogaviyogO
dalitO	dalitO
pfTaka	pfTak
vikzepavargahInAByAM	vikzepavargahInAByAM
tadvargAByAmuBe	tadvargAByAmuBe
pade	pade
12	412
zazwyA	zazWyA
saNgaRya	saMguRya
sUrvendrormuktyantaraviBAjite	sUryendvorBuktyantaraviBAjite
szyAtAM	syAtAM
sTitivizmadarDe	sTitivimardArDe
nAqikA^diPale	nAqikAdiPale
ta	tayoH
sTityarDanAqikA$ByastA	sTityarDanAqikAByastA
gatayaH	gatayaH
zazwiBAjitAH	zazWiBAjitAH
litAdi	liptAdi
pragraha	pragrahe
SoDyaM	SoDyaM
mokze	mokze
deyaM	deyaM
pana	punaH
pana	punaH
14	414
tadvikzepE	tadvikzepEH
sTitidala	sTitidalaM
vimadAMDa	vimardArDe
taTA$sakft	taTA$sakft
saMsADyamanyaTA	saMsADyamanyaTA
pAte	pAte
tallipsAdi^PalaM	talliptAdiPalaM
svakam	svakam
15	415
sPuwatiTyavasAne	sPuwatiTyavasAne
tu	tu
maDyagrahaRamAdiSet	maDyagrahaRamAdiSet
sTityarDanAqikAhIne	sTityarDanAqikAhIne
sparSI	grAso
mokzastu	mokzastu
saMyute	saMyute
16	416
tadvadeva	tadvadeva
vimadAMDanAqikA^hInasaMyute	vimardArDanAqikAhInasaMyute
mIlanonmIlanAKye	nimIlanonmIlanAKye
BavetAM	BavetAM
sakalagrahe	sakalagrahe
17	417
izwanAqIvihInena	izwanAqIvihInena
sTityarDenArkacandrayoH	sTityarDenArkacandrayoH
BuktyantaraM	BuktyantaraM
samAhanyAt	samAhanyAt
zazwavyAptAH	zazwyAptAH
kAAwAlApmakAH	kowiliptikAH
18	418
BAnI^graha	BAnorgrahe
kowilimA	kowiliptA
maDyasTityarDasaNgaRA	maDyasTityarDasaMguRAH
sPuwasTityarDasaMBaktAH	sPuwasTityarDasaMBaktAH
sPuwAH	sPuwAH
kowikalAH	kowikalAH
smftAH	smftA
1	419
kzepo	kzepo
BujastayorvvargayutermUlaM	BujastayorvargayutermUlaM
Sravastu	Sravastu
tat	tat
mAnayogADarGataH	mAnayogArDataH
projJaya	projJya
grAsastAtkAliko	grAsastAtkAliko
Bavet	Bavet
20	420
maDyagrahaRataSroDvamizwanAqIviMSoDayet	maDyagrahaRataScorDvamizwanAqIrviSoDayet
sTityaDanmOcittavakAcCezaM	sTityarDAn^mOkzikAcCezaM
prAgavacCezaM	prAgvacCezaM
tu	tu
mOkzike	mOkzike
21	421
grAhyagrAhakayogADacCoiDyAH	grAhyagrAhakayogArDAcCoDyAH
svacCannaliptikAH	svacCannaliptikAH
tadvagargat	tadvargAt
projBaSya	projJya
tatkAlavikzepasya	tatkAlavikzepasya
kftiM	kftiM
padam	padam
22	422
kowiliptA	kowiliptA
raveH	raveH
spazwasTityaDEnAhatA	spazwasTityarDenAhatA
hftA	hftAH
maDyena	maDyena
liptAstannAqayaH	liptAstannAqyaH
sTitivadgrAsanAqikAH	sTitivad^grAsanAqikAH
23	423
natajyA$kzajyayA$ByastA	natajyA$kzajyayAByastA
trijyAptA	trijyAptA
tasya	tasya
kArmukam	kArmukam
valanAMSA	valanAMSA
sOmyayAmyAH	sOmyayAmyAH
pUrvAparakapAlayoH	pUrvAparakapAlayoH
24	424
rASitrayayutAd	rASitrayayutAd
grAhyAt	grAhyAt
krAntyaMSErdiksamEryutAH	krAntyaMSErdikzamEryutAH
Bede$ntarAjyA	Bede$ntarAjjyA
valanA	valanA
samatyaNgalaBAjitA	saptatyaNgulaBAjitA
25	425
sonnataM	sonnataM
dinamaDyarDaM	dinamaDyArDaM
dinADarmAptaM	dinArDAptaM
Palena	Palena
tu	tu
