sUlamiti	mUlamiti
tadrahitA3Sugati	tadrahitA3SugatiH
sPuwaButiH	sPuwaBuktiH
42	42
1	1
aca	atra
TA	yA
pulakE	pustake
Palakendra	Palakendra
iti	iti
pAWa	pAWaH
2	2
mU	mU
pustake	pustake
guRonaviBaktA	guRanaviBaktA
iti	iti
taTA3	taTA3
tAMSugati	tAMSugatiH
vftipAWa	iti^pAWaH
brApnamuwasidDAne^SEGragarti	brAhmasPuwasidDAnteSIGragatiM
mandaPaKasPuwaButraSnAM	mandasPuwaBuktyUnAM
kujAdOnAm	kujAdInAm
SEGraPalaM	SIGraPalaM
BImyabDAKazuRitaM	BogyajyAsaNguRitaM
tvAdyajOvayA	tvAdyajIvayA
viBajet	viBajet
PaKaguRirta	PalaguRitaM
vyAsATE	vyAsArDaM
viBAjayecCOGrakarRana	viBAjayecCIGrakarRena
stuzwADyAyaH	sPuwADyAyaH
175	175
1syAdavanOtanayAdiKagAnAM	1syAdavanItanuyAdiKagAnAM
SIGragate	SIGragateH
pralamaByaDik	PalamaByaDikaM
cet	cet
2tatPalato$pi	2tatPalato$pi
viSoDaya	viSoDaya
SezaM	SezaM
vakragatirBavati	vakragatirBavati
dyucarARAm^43	dyucarARAm43
caYcalakendragatiH	caYcalakendragatiH
BOmAderyatvasya	BOmAdergrahasya
pUrvIlena	pUrvoktena
karmaRA	karmaRA
mandaPalasPuwA	mandaPalasPuwA
yA	yA
3	3
BuktistAM	BuktistAM
KaSIGnISvaBukta	svaSIGroccaBukteH
saMSIDya	saMSoDya
SizwA	SizwA
vaYcalakendragatirBavati	caYcalakendragatirBavati
sA	sA
4	4
PalaBIgyajyayA	PalaBogjyayA
grachrasya	grahasya
sPuwIkriyamARasya	sPuwIkrimARasya
yacCIGraPalaM	yacCIGraPalaM
Bavati	Bavati
tasya	tasya
PalajyAyAM	PalajyAyAM
kriyamARAyAM	kriyamARAyAM
yad	yad
UyAntaraM	jyAntaraM
sA	sA
5	5
PalaBIgyajyA	PalaBogyajyA
tayA	tayA
guRito$$dyaguRenaM	guRitA$$dyaguRe
gataH^guRadasrabAqu	guRadasrabAhu
223	223
saMKyena	saMKyena
viBajYA	viBaktA
kAryA	kAryA
tato	tato
yatPalaM	yatPalaM
taddayAsArDahataM	tadvyAsArDahataM
vyAsadaKaGnaPalamucyate	vyAsadalaGnaPalamucyate
tat	tat
SrutiBaktAM	SrutiBaktaM
SrutyA	SrutyA
karRena	karRena
BaktaM	BaktaM
kAyem	kAryam
tato$pi	tato$pi
yat	yat
labDaM	labDaM
tena	tena
sarvadA	sarvadA
rachitA	rahitA
SizwA	SizwA
SrASugatiH	aASugatiH
SIGtraBukti	SIGraBuktiH
grahrARAmavanijAdInAM	grahARAmavanijAdInAM
sPuwaBuktAistatra	sPuwaBuktisatatra
pradeSe	pradeSe
sTitAnAM	sTitinAM
Bavati	Bavati
prAnItaM	aAnItaM
PalaM	PalaM
SIGragatEraByaDikaM	SIGragateraByaDikaM
cet	cet
tarhi	tarhi
tAM	tAM
SIGragatiM	SIGragati
PalatI	Palato
viSoDayApIti	viSoDayApIti
SizyaM	SizyaM
pratyujYiH	pratyuktiH
tatra	tatra
SezaM	SezaM
dyucarARAM	dyucarARAM
labDInA	labDonA
SIGragati	SIGragatiH
saknuwamuktirBavati	sPuwaBuktirBavati
lanDamazirka	labDamaDikaM
cetTtra	cet
SEOGragate	SIGragateH
SEOGragatiM	SIGragatiM
labDAt	labDAt
saMSoDya	saMSoDya
vakragati	vakragatiH
iti	iti
braqrAguptInAM	brahmaguptoktaM
KallIptAM	lalloktaM
vA	vA
mandayAwA	mandasPuwA
Bavati	Bavati
tadrahitAgraButi	tadrahitASuBuktiH
civyAhatA	trijyAhatA
KacalakarRahatA$$SucApaBogyajyayA	svacalakarRahatA$$SucApaBogyajyayA
viguRitA	viguRitA
vizWatA$$dyamObryA	vihftA$$dyamOrvyA
labDa	labDaM
tyajet	tyajet
KacalatuNgagate	svacalatuNgagatEH
sadEva	sadEva
SezaM	SezaM
sPa़wA	sPuwA
Bavati	Bavati
ca	ca
yiBuktirevamaMYlabDa	grahaBuktirevam^labDaM
BavedyadaDika	BavedyadaDikaM
calatuNgaBukta^vyEsta	calatuNgaBuktervyastaM
Bunakti	Bunakti
Kacara	KacaraM
prativAsaraM	prativAsaraM
tat	tat
etadavalIkaya	etadavalokya
tadrivEiSezameva	tannirviSezameva
SrOpatinA	SrIpatinA
sPawaBuktisADanaMliKitamiti	sPuwaBuktisADanaM^liKitamiti
atra	atra
BAKarAcAryeRa	BAskarAcAryeRa
PalAMRa	PalAMSa
KACAntaraTiYcinEOGnO^tyAdinA	KANkAntaraSiYjinIGnItyAdinA
tAtkAlikaBIgyaKaRqana	tAtkAlikaBogyaKaRqena
sUta	sUkzmaM
spazwagatisADanaM	spazwagatisADanaM
sidDAntagirImaRAvukramiMtiM	sidDAntaSiromaRAvuktamiti
t	1
atra	atra
mU	mU
pustake	pustake
SrA	A
pustake	pustake
ca	ca
syAdapanOtanaTAdi	syAdapanItanayAdi
iti	iti
pAWa	pAWaH
2	2
mU	mU
pustakE	pustake
tAM	tAM
Palato$pi	Palato$pi
iti	iti
pAWa	pAWaH
3	3
Srava	atra
SrA0	A
pustake	pustake
BukistAsAM	BuktistAsAM
8	4
calaBIgyajyayA	calaBogyajyayA
5	5
sA	sA
calaBogyavyA	calaBogyajyA
176	176
sijrAnsaploraKure	sidDAntaSeKare
vakrA	vakrA
gatirBavati	gatirBavati
viparItaSIDana	viparItaSoDane
kte	kfte
SizwA	SizwA
vakraBuktirBavatItyarTaH	vakraBuktirBavatItyarTaH
BOmasyAyaM	BOmasyAyaM
viSeza	viSezaH
praTamaM	praTamaM
mandaPalasuptAvadAnIya	mandaPalamuktavadAnIya
tadarDaM	tadarDaM
BuktAvaRaM	BuktAvfRaM
DanaM	DanaM
vA	vA
kAryem	kAryam
yadi	yadi
mandasPuwaBukzIraDikA	mandasPuwaBukteraDikA
sPuwaBuktistadArDaM	sPuwaBuktistadArDaM
Danam	Danam
anyaTA	anyaTA
fRamityevaM	fRamityevaM
kati	kfte
tad	tad
ddikarmasPuwA	dvikarmasPuwA
BOmasPuwaBuktirBavati	BOmasPuwaBuktirBavati
tAM	tAM
maDyAM	maDyAM
parikalpA	parikalpya
SezaM	SezaM
grahaBukterapi	grahaBukterapi
sPa^wIkaraRamiti	sPuwIkaraRamiti
kacAmaRqalAdizu	kakzAmaRqalAdizu
pradarSayat	pradarSayet
mandakarmasPuwI	mandakarmasPuwo
yacI	graho
yatra	yatra
pradeSe	pradeSe
kactAmaRqale	kakzAmaRqale
vartate	varttate
tatraSIGranIcIYcazWattamaDye	tatra^SIGranIcoccavfttamaDye
kvate	kfte
tatpariDiSIGrapratimaRqalapariDyIryatra	tatpariDiSIGrapratimaRqalapariDyoryatra
sampAtastatra	sampAtastatra
sPuwI	sPuwo
granha	grahaH
tasya	tasya
KaSIGnanIcocAByAM	svaSIGranIcoccAByAM
sak	saha
yadntaraM	yadantaraM
tat	tat
pratidinamupacIyate	pratidinamupacIyate
KaSIGraBuktimandaPalasPuwaBukcorantareRa	svaSIGraBuktimandaPalasPuwIBuktyorantareRa
yatra	yatra
SIGra	SIGraH
SIGraBaktyA	SIGraBaktyA
yAti	yAti
pratI	ato
mandPalastuwaBukyUnA	mandaPalasPuwaBuktyUnA
SIGraBuktiH	SIGraBuktiH
kriyate	kriyate
yena	yena
tayorantaraM	tayorantaraM
SIGrakendraBuktirBavati	SIGrakendraBuktirBavati
sA	sA
ca	ca
SIGrakendraBukti	SIGrakendraBuktiH
sPuwIkriyata	sPuwIkriyate
taca	tatra
yEva	yEva
KaSIGranIcoccadvattasya	svaSIGranIcoccavfttasya
maDyaSalAkA	maDyaSalAkA
sEvAvaDiKena	sEvAvaDitvena
kalpitA	kalpitA
PalacApakaraRe	PalacApakaraRe
yatastata	yatastata
eva	eva
yAvaddiprakarzastAvadeva	yAvadviprakarzaMstAvadeva
grahaPalamitastata	grahaPalamitastata
evAvaDeH	evAvaDeH
kramajyA	kramajyA
pravartate	pravarttate
PalacApakaraRa	PalacApakaraRe
SIGraPalAnte	SIGraPalAnte
yat	yat
jyAntaraM	jyAntaraM
tena	tena
cErASika	trErASikaM
yadi	yadi
tatvayamE	tatvayamE
225	225
stajjyAntaraM	stajjyAntaraM
laByate	laByate
SIGrakendraBuptiAliptABiH	SIGrakendraBuktiliptABiH
kimiti	kimiti
tato	tato
dvitIyamyadi	dvitIyamyadi
guRadasvabAhuBi	guRadasrabAhuBi
223	223
stakvayama	stattvayama
225	225
tulyAccApaliMptAstatlabDajyAKaRqena	tulyAScApaliptAstatlabDajyAKaRqena
kimiti	kimiti
tacAdI	tatrAdye
tatvayamA	tatvayamA
225	225
BAgaccAra	BAgahAraH
dditOye	dvitIye
guRakAraH	guRakAraH
SratastulyatvAtrASe	atastulyatvAnnASe
SIGrakendraSIGraBulejyOntaraM	SIGrakendraSIGraBukterjyAntaraM
guRakAra	guRakAraH
SrAdyajIvA	aAdyajIvA
BAgahrAraH	BAgahAraH
PalaM	PalaM
pratimaRqalasyagracpradeSe	pratimaRqalasyagrahapradeSe
sPwA	sPuwA
SIGraBujYiAH	SIGraBuktiH
sA	sA
ca	ca
kacAmaRqale^pariRAByate	kakzAmaRqalepariRAmyate
tadarTasutAM	tadarTamuktaM
vyAsadalannaPalaM	vyAsadalaGnaPalaM
SrutiBaptamiti	SrutiBaktamiti
trErASika	trErASikaM
tato	tato
yallabDa	yallabDaM
sA	sA
SIGrakendraBuptiAH	SIGrakendraBuktiH
sPa^wA	sPuwA
kactAmaRqale	kakzAmaRqale
sA	sA
ca	ca
griSIGrasPa़^waBujYayorantaram	grahaSIGrasPuwaBuktyantaram
ateva	ateva
SOGragateH	SIGragateH
saMSoDya	saMSoDya
SizwA	SizwA
grahasya	grahasya
sPa^waBuptiAH	sPuwaBuktiH
labDamaDika	labDamaDikaM
yadA	yadA
SIGragartarBavati	SIGragaterBavati
tadA	tadA
viparItaSoDane	viparItaSoDane
vakraBuptiH	vakraBuktiH
syAt	syAt
yata	yataH
SIGrakarRastadA^1	SIGrakarRastadA1
kalpA	kalpA
BavatikactAmaraqalasyopari	Bavati^kakzAmaRqalasyopari
sTitatvAt	sTitvAt
vyAsadalaGnaPalaM	vyAsadalaGnaPalaM
yAvat	yAvat
kriyate	kriyate
tAvacCIGragaterapyaDikA2ccIGrakendrasPuwaBuktaMIrantareRa	tAvacCIGragaterapyaDikA2cCIGrakendrasPuwaBuktyorantareRa
taduktaM	tadu्ktaM
tatPalatI$pItyAdi	tatPalato$pItyAdi
43	43
1	1
Sraca	atra
KalyI	svalpo
Bavati	Bavati
dUti	iti
sADu	sADu
pratOyane	pratIyate
2	2
aca	atra
kimapi	kimapi
truwirta	truwitaM
pratiBAti	pratiBAti
sPuwADyAyaH	sPuwADyAyaH
২৩৩	177
sPuwaBujYayAnayane	sPuwaBuktAnayane
upAyAntaraM	upAyAntaraM
vasantatikaraTodatAzWattAByAmAha^drAkkendraBuktiraTa	vasantatilakaraTodDatAvfttAByAmAhadrAkkendraBuktiraTa
vA	vA
guRitAKaBAgyanmOvyA	guRitA^svaBogyamOrvyA
1guRAkvati	1guRAkfti
223	223
hftA	hftA
pariRAiniGnO	pariRAhaniGnI
cakrAMSakE	cakrAMSakE
36o	360
rapa2dvatA	rapa2hftA
guRitA	guRitA
3	3
cimOrvyA	trimOrvyA
karRObftA	karRodDftA
Bavati	Bavati
SOGnaPalaM	SIGraPalaM
hi	hi
Bukte	BukteH
44	44
tena	tena
yukta4rahitanitA$DivA	yukta4rahitonitA$DikA
prItacaScaja5padakAmANgatiH	proktacaYcala5padakramAdgatiH
prasPwA	prasPuwA
bahutarAqaRAcuAtA	bahutarAdfRAccyutA
sEva	sEva
vakragatirucyate	vakragatirucyate
buDEH	buDEH
45	45
paTa	aTa
vilupAyAntarapariyachArTa	vetyupAyAntaraparigrahArTaH
drAkkendraBukti	drAkkendraBuktiH
pUrvevadAnItA	pUrvavadAnItA
SIGraBuktiH	SIGraBuktiH
KaBogyamOvryA	svaBogyamOrvyA
SIGrakendrajyAntaraRa	SIGrakendrajyAntareRa
guRitA	guRitA
guRAkkatiBiH	guRAkftiBiH
guRadasrabAquBiH	guRadasrabAhuBiH
223	223
dratA	hftA
kAryA	kAryA
tatra	tatra
yA	yA
jyA	jyA
labDA	labDA
sA	sA
pariRAccaniGnI	pariRAhaniGnI
sPuwapariDinA	sPuwapariDinA
guRitA	guRitA
cakrAMgE	cakrAMSE
360	360
rapadDatA	rapahftA
kAryA	kAryA
tatra	tatra
labDA	labDA
trijyayA	trijyayA
guRitA	guRitA
SIGrajena	SIGrajena
karRenodftA	karRenodDftA
Bukta	BukteH
SIGraPaKaM	SIGraPalaM
Bavati	Bavati
tanaM	tena
PelenaM	Palena
proktaMcaYcalapadakmAtproktAni	proktacaYcalapadakramAt^proktAni
yAni	yAni
cacaKapadAni	caYcalapadAni
SrIGnakeSdrapadAni	SIGrakendrapadAni
tezAM	tezAM
kramAdyuktarachitInitA$DikA	kramAdyuktarahitonitA$DikA
gatiH	gatiH
SIGragatiH	SIGragatiH
SizyarDIdvatfidatantre^taddarjitA	SizyaDIvfdDidatantretadvarjitA
KacalatuNgagati	svacalatuNgagatiH
KaBIgyaKaRqa़AitA	svaBogyaKaRqAhatA
garaTamAciAhatA	SarayamAkzihftA
itA	hatA
ca	ca
Kena	svena
sPuwena	sPuwena
guRakena	guRakena
KanAgaBaSA	KanAgaBaktA
trivyAitA	trijyAhatA
SrutizWatA$$SfPalaM	SrutihftA$$SuPalaM
gate	gateH
syAtA	syAt
mandasPuwA	mandasPuwA
grahagati	grahagatiH
sPa़्watAmupEti	sPuwatAmupEti
yuktInitA	yuktonitA
virahitA	virahitA
sahitA$munA	sahitA$manA
ca	ca
SEGrABiDAnanijakEnwrapadakrameRa	SIGrABiDAnanijakendrapadakrameRa
vakrA	vakrA
gatirBavati	gatirBavati
cedvaRatI	cedfRato
viSuqa़A	viSudDA
iti	iti
KalloktasyAnurupameva	lalloktasyAnurUpameva
drAkkEndraBuktiraTa	drAkkendraBuktiraTa
vA	vA
guRite	guRite
tyAdiSEOpate	tyAdi^SrIpateH
padAiyamLkevalaM	padyadvayam^kevalaM
pariDyaBAn	pariDyaMSAn
cakrAM5iza	cakrAMSASAMSca
sArDacaturBirapavartaya	sArDacaturBirapavarttya
KasPUwaraRaka	svasPuwaguRakaH
KanAgAya	KanAgASca
guRakaBAjakatvana	guRakaBAjakatvena
lallenoktA	lallenoktA
iti	iti
viSeza	viSezaH
1	1
atra	atra
grarAkftiitA	SarAkftihftA
dfti	iti
wi	wi
pAWa	pAWaH
saca	sa^ca
savEtra	sarvatra
guRAkftituzyAyA	guRakftitulyAyA
eva	eva
trijyAyA	trijyAyA
uktatvAdayukta	uktatvAdayukta
eva	eva
pratiBAti	pratiBAti
guRAkftihitA	guRAkftihitA
dfti	iti
SrA	A
pAWa	pAWaH
2	2
aca	atra
rapi	rapi
CutA	hftA
kfti	iti
wi	wi
pAWa	pAWaH
2	3
aca	atra
ciBOmyEi	trimOrvyA
iti	iti
taTAfs	taTA4
aca	atra
rahitA	rahitA
dinIyitA	dinotTitA
dfti	iti
ca	ca
mU	mU
pAWa	pAWaH
5	5
ava	ata
dinakramAd	dinakramAda
gatiH	gatiH
dfti	iti
mU	mU
pAWastaTA	pAWastaTA
padakramANgatima	padakramAdgatim
dfti	iti
aA	A
pAla	pAWaH
23	178
২৩নে	sidDAntaSeKare
prasPuwA	prasPuwA
Bavati	Bavati
makarAdODanaM1kakaryAdAdvaRamiti	makarAdO^DanaM^1karkyAdAvfrAvfRamiti
yAvat	yAvat
yadi	yadi
SIGraPalaM	SIGraPalaM
SIGraBuJeraDikaM	SIGraBukteraDikaM
syAttadA	syAttadA
baqa़tarAdfRAt	bahutarAdfRAt
fRaSabdena	fRaSabdena
SIGraPalamucyate	SIGraPalamucyate
bahutarAdaDikAwwaRAt	bahutarAdaDikAdfRAt
yutA	cyutA
sEva	sEva
SIGraBukti	SIGraBuktiH
kAryA	kAryA
tatra	tatra
SizwA	SizwA
buDErvakragatirucyataM	buDErvakragatirucyate
vAsanA	vAsanA
menwkendragatirakecandrayorityatrIptA	mandakendragatirarkacandrayorityatroktA
guRitA	guRitA
cirmOrvvetyAderucyateyadi	trimOrvyetyAderucyateyadi
trijyAqate	trijyAvftre
yadi	yadi
SIGrakendragatiH	SIGrakendragatiH
karRadvata	karRavftte
kiyatIti	kiyatIti
vyAsArDamaRqalagatA	vyAsArDamaRqalagatA
SIGrakendragatiH	SIGrakendragatiH
karRamaRqalapariRatA	karRamasTalapariRatA
kriyate	kriyate
guRitA	guRitA
trimOvya	trimOrvyA
kaRoMvftetyanena	karRodDftetyanena
makarAdO	makarAdO
pratimaRqalaM	pratimaRqalaM
vAcvAmaRqaKAdupari	kakzAmaRqalAdupari
sTitaM	sTitaM
tasmAt	tasmAt
tatra	tatra
SIGra^PalaM	SIGraPalaM
DanaM	DanaM
kktidagvaDaHSliMtaccApawwaRamiti4445	karkyAdAvaDaH^sTitaM^tasmAdfRamiti^4445
idAnIM	idAnIM
dorvivaraparijYAnAya	dorvivaraparijYAnAya
mAlinIdvattamAha	mAlinIvfttamAha
raviPalagatiGAtAt	raviPalagatiGAtAt
cakraliptABi	cakraliptABiH
36•	21600
rApta	rAptaM
2KasvaRamiha	2svamfRamiha
vidaDyAdarkavat	vidaDyAdarkavat
Kacarezu	Kecarezu
3saviQaPalazaqa़6So	3savitfPalazaड़M^6^So
yo	yo
viliptAsu	viliptAsu
BAno^sutudDinamahfsi	BAnostuhinamahasi
kuryeoktasya	kuryAttasya
vA	vA
DizRaya	DizRya
27	27
BAgam	BAgam
46	46
raviPalEM	raviPalaM
ravidIPalaMgagatiricwacachaBukti	ravidoHPalaM^gatirizwagrahaBuktiH
tayorGAtAcakraliptABi	tayorGAtaccakraliptABi
215oo	21600
rvijajet	rvijajet
prAptaM	AptaM
BujAntarAKyaM	BujAntarAKyaM
tatPalaM	tatPalaM
Kecarezvarkavat	Kecarezvarkavat
KaM	svaM
DanacWaRaM	DanamfRaM
vAividaDyAdarkakzandravaSAt	vA^vidaDyAdarkakendravaSAt
yadA	yadA
DravIndra	arkakendraM
mezAdO	mezAdO
tadarze	tadfRaM
tulAdO	tulAdO
cecanamityarTaH	cetanamityarTaH
sPuwaBuktayAnItaM	sPuwaBuktyAnItaM
cet	cet
sPuwayahne	sPuwagrahe
maDyaBuktayAnItaM	maDyaBuktyAnItaM
ceSmaDyama	cenamaDyame
DanacRaM	DanamfRaM
vA	vA
kAryam	kAryam
yato	yato
maDyamArkodayakAlInA	maDyamArkodayakAlInA
bAnItAstato$rkadIPalena	AnItAstato$rkadoHPalena
trErASikAt	trErASikAt
sPuwArkodayakAlikA	sPuwArkodayakAlikAH
kriyante	kriyante
tasmAdmaDyastuwArkayorantaraM	tasmAnmaDyasPuwArkayorantaraM
taraPalaM	tatPalaM
tatredaM	tatredaM
trErASikAM	trErASikaM
yAvat	yAvat
KaKazaqGana	KaKazaqGana
21600	21600
saMKyAyakraliptA	saMKyAScakraliptA
udayaM	udayaM
yAnti	yAnti
tAvadro$pi	tAvadgraho$pi
KaButiM	svaBuktiM
BuNkte	BuNkte
tadarkaPalalisI^davana	tadarkaPalaliptodayena
kimiti	kimiti
banArkaPalamizwArASiHcanhaBuktiH	atrArkaPalamicCArASiHgrahaBuktiH
PalarASiH	PalarASiH
cakralimAH	cakraliptAH
pramARarASiH	pramARarASiH
PalaM	PalaM
dojyaviSenotpannatvAt	dorjyAvaSenotpannatvAt
dIrvivarasucyate	dorvivaramucyate
ravIndordeOrvivarAnayane	ravorndvorvivarAnayane
1	1
atra	atra
karUyAdANgaRamiti	kakzyAdAvfRamiti
prA	A
purutake	pustake
vartate	varttate
arkaPaKaBuktiGAtAt	arkaPalaBUktiGAtAt
BagaRakalApta	BagaRaPalAptaM
BujAntaraM	BujAntaraM
ravivat	ravivat
iti	iti
brAhmasamuwasidDAntIJe^BAMrI$rkaPalaKendo	brAhmasPuwasidDAntokteHBAMSo$rkaPalesyendoH
zaqqAByanADike	zaqrASyUnADike
kendra	kendre
iti	iti
KaRqaKAdyakIneSAnurupamevedaM	KaRqaKAdyakokteScAnurUpamevedaM
SrOpate	SrIpateH
padyam	padyam
2	2
KasrazaqmividaDyAt	svamfRadvimavidDyAt
Kecarezvarkavat	Kecarezvarkavat
tat^itisU	tatiti^mU
pAWaH	pAWaH
3	3
sapitfPalazaqa़AgI	sapitfPalazaड़AMgo
vA	vA
viliptAsu	viliptAsu
BAnO	BAnO
sPuwADyAyaH	sPuwADyAyaH
రిటి	179
upAyAntaramAi	upAyAntaramAha
saviMwwaPaleti	savitfPaleti
prakaPalasya	arkaPalasya
zaqaMSI	zaqaMSo
ya	yaH
tA	tA
liptikA	liptikA
viliptAKAne	viliptAsTAne
BAnI	BAnO
saMskAryAH	saMskAryAH
taTA	taTA
tuqinamaNgasi	tuhinamasi
candre	candre
tasyArkaPalasya	tasyArkaPalasya
DizRayaBAgaM	DizRyaBAgaM
saptaviMSatyA	saptaviMSatyA
27	27
italabDaM	hftalabDaM
DanaKena	Danatvena
fRatvana	fRatvena
vA	vA
kuryAt	kuryAt
yataH	yataH
kiYcidUnA	kiYcidUnA
zazwiliptA	zazwiliptA
ravermaDyagatiraKpAntaratvAt	ravermaDyagatiralpAntaratvAt
zazwiliptA	zazwiliptA
viliptICatAH	viliptIkftAH
Kaddayazaqa़gnayo	Kadvayazaड़gnyo
36ooBavanti	3600^Bavanti
tAsAM	tAsAM
cakraliptAnAM	cakraliptAnAM
21600	21600
cApavarttane	cApavarttane
ekI	eko
guRakAraH	guRakAraH
saptaviMSati	saptaviMSati
27	27
BAgiAraKa	rBAgahAraSca
kalpitaH	kalpitaH
taduktaM	taduktaM
saviLaPalazaqaMSa	savitfPalazaqaMSa
ityAdi	ityAdi
46	46
idAnI	idAnIM
ravicandragrahaRayotiTyante	ravicandragrahaRayostiTyante
natakAlasya	natakAlasya
dinArDAdravicandrayostuKyata	dinArDAdravicandrayostulyatAM
mandAkrAntAvattena	mandAkrAntAvfttena
darSayati	darSayati
prAk	prAk
paSvAddA	paScAdvA
divasaSakalAdmABisvIM^1GawOBi^tiTyantE	divasaSakalAdyABirarko1GawIBistiTyante
KANgata	syAnnata
uqupatistABirevArDarAcAt	uqupatistABirevArDarAtrAt
vyaktaM	vyastaM
cUndragrahaRasamaye^2vA$BrarAma	candragahaRasamaye2vA$BrarAma
io	30
cyutABiH	cyutABiH
3sUryagrAMta	3sUryagrAse
raviriva	raviriva
viDu	viDuH
syAnnata	syAnnataH
prAkpratIcyo	prAkpratIcyoH
4o	40
prAk	prAk
pUrveRa	pUrveRa
paScAdaparaza	paScAdapareRa
vA	vA
divasaSakaSvAddinArDAt	divasaSakalAddinArDAt
yABi	yABiH
yAvatsaMKyABiH	yAvatsaMKyABiH
GawIBi	GawIBiH
tizyante	tiTyante
pOrRamAsyante	pOrRamAsyante
syOM	sUryo
nato	nato
Bavati	Bavati
praBnarAmacyutABistriMSatI	aBrarAmacyutABistriMSato
3o	30
yastamarDarAtrAdyadi	vyastamarDarAtrAdyadi
raviH	raviH
KadinArDAtpUrveRa	svadinArDAtpUrveRa
natastacandrI	natastaccandro
raveH	raveH
sambanDino$rDarAtrAdapareRa	sambanDino$rDarAtrAdapareRa
aTa	aTa
raviH	raviH
KadinArDAtpaYcAttaccandro	svadinArDAtpaScAttaccandro
raverarDarAcAtpUrveRa	raverarDarAtrAtpUrveRa
atastulyo	atastulyo
aca	atra
zaw	zaw
ca	ca
BAgahAra	BAgahAraH
kalpita	kalpitaMH
PalaM	PalaM
vikalAtmakaM	vikalAtmakaM
ravaM	raveH
kendravaTAt	kendravaSAt
ravO	ravO
DanamfRaM	DanamfRaM
vA	vA
evaM	evaM
candraBuJiM	candraBuktiM
KarupAntarAdazwagatIM	svalpAntarAdazwaSatIM
8ooprakalpA	800^prakalpya
tasyASakraliptAnAM	tasyAScakraliptAnAM
216oo	21600
cAzwagatyA	cAzwaSatyA
8oo	800
$pavasEne	$pavarttane
ekI	eko
guRakAra	guRakAraH
etAiyO	etAdfSo
paMktiKuwitA	paMktistruwitA
pratiBAti	pratiBAti
1	1
Sraca	atra
GaMwOBi	GawIBiH
sTityante	sTityante
iti	iti
taTA	taTA
2	2
Srava	atra
vA$DarAmAcuMyatABi	vA$BrarAmAcyutABiH
iti	iti
taTA	taTA
—	3
2	ava
sUryaM	sUryaM
grAve	grAse
iti	iti
ca	ca
mU	mU
pAWaH	pAWaH
prAk	prAk
pazAiA	paSacAdvA
yABirGawikABirdinadalAvrataH	yABirGawikABirdinadalAnnataH
sUrya	sUryaH
tiDyanta	tiTyante
tadichrirha	tadvihitaM
viMSadfiGawikAvaSezABi	viMSadaGawikAvaSezABiH
viparItamarDarAcAt	viparItamarDarAtrAta
candragrahaRe	candragrahaRe
eREO	SaSI
ravigrahaRe	ravigrahaRe
sUryo	sUryo
yatI	yato
nataptABireva	natastABireva
GawikABirindurapi	GawikABirindurapi
9	2
iti	iti
brahmaguptItaralakzpameva	brahmaguptokteranurUpameva
SrOpateridaM	SrIpateridaM
padyam	padyam
sidDAntaSeKare	sidDAntaSeKare
matakAKa	natakAlaH
tasmAddEkEva	tasmAdekEva
natajyA	natajyA
KapariDyo	svapariDyoH
saMskArArTA	saMskArArTA
candragrahaRe	candragrahaRe
kAryetyaTEH	kAryetyarTaH
sUryagrAse	sUryagrAse
sUryagrahaRe	sUryagrahaRe
punA	punA
raviryetaH	raviryataH
pUrveRa	pUrveRa
paMreRa	pareRa
vA	vA
natI	nato
yAvatEOBiDEwikABiramAvAsyAnrta	yAvatIBirGawikABiramAvAsyAnte
tata	tata
etAvatIBirGawikABiSvandro	etAvatIBirDawikABiScandro
nato	nato
Bavati	Bavati
atrApi	atrApi
natakAlatuKya	natakAlastulya
eva	eva
tacmAdekEva	tasmAdekEva
natayA	natajyA
KapariDyI	svapariDyoH
saMskArArTaM	saMskAryaM
kAryeti	kAryeti
pratra	atra
vAsanA	vAsanA
gole	gole
pradaSya	pradarSyA
KAhorAtrazwatayoH	svAhorAtravfttayoH
KadinArDAdyAmyottaramarAjulaKAhorAtrabbatasampAtAt	svadinArDAdyAByottaramaRqalasvAhorAtravfttasampAtAt
praBfti	praBfti
ravirarDarAtrI	ravirarDarAtro
yAvatpunarapi	yAvatpunarapi
KAhorAtradvate	svAhorAtravftte
yAmyottarasampAto	yAmyottarasampAto
yAvadyadA	yAvadyadA
natI	nato
Bavati	Bavati
tadA	tadA
triMSaduGawikAnataH	triMSadaGawikAnataH
sUryo	sUryo
Bavati	Bavati
canwraSva	candraSca
taTA	taTA
taTA	taTA
KamaDyANgI	KamaDyAhne
yAmyottaramaRqalaKAmlorAtramaRqalayo	yAmyottaramaRqalasvAhorAtramaRqalayoH
sampAte	sampAte
Bavati	Bavati
tatra	tatra
triMSaddfcaMwikAByIQavaSezABAvAt	triMSadaGawikAByo$vamaSezABAvAt
syanatirnAsti	sUryanatirnAsti
atastatra	atastatra
natABAvaH	natABAvaH
SaSinaH	SaSinaH
raverarDarAtre	raverarDarAtre
natABAvo$nuJa	natABAvo$nukta
eva	eva
jYAyate	jYAyate
KadinArDApecyA	svadinArDapekzayA
triMSatA	triMSatA
GawikABirnata	GawikABirnata
ityucyate	ityucyate
yadA	yadA
punararDarAtrAdraviH	punararDarAtrAdraviH
pavimo	paScimo
Bavati	Bavati
tadA	tadA
candro$pi	candro$pi
KamaDyANgAt	svamaDyAhnAt
pUrveRa	pUrveRa
tAvatyeva	tAvatyeva
pradeSa	pradeSe
